text,intent
Can I take cetirizine with paracetamol?,medication_info
Emergency! My father is difficulty breathing,emergency_help
I have a chills and cough,symptom_check
"Need immediate help, I'm unconscious",emergency_help
Is it safe to use ibuprofen every day?,medication_info
What foods to avoid if I have pregnancy?,diet_advice
I have a cough and dizziness,symptom_check
Suffering from fever lately,symptom_check
Is it safe to use aspirin every day?,medication_info
Suggest foods for pregnancy,diet_advice
Suffering from fever lately,symptom_check
Is it safe to use cetirizine every day?,medication_info
My friend has a fever,symptom_check
"Experiencing chills, dizziness, and nausea",symptom_check
What foods to avoid if I have hypertension?,diet_advice
I have a dizziness and dizziness,symptom_check
What should a pregnancy patient eat?,diet_advice
"Severe cough, what to do?",emergency_help
Schedule a visit to the dermatologist,appointment_booking
My sibling has a chills,symptom_check
I have a dizziness and fever,symptom_check
"Can't breathe properly, urgent help",emergency_help
Is it safe to use aspirin every day?,medication_info
Can paracetamol be taken on an empty stomach?,medication_info
My friend has a dizziness,symptom_check
Book an appointment with a general physician,appointment_booking
Can ibuprofen be taken on an empty stomach?,medication_info
What foods to avoid if I have diabetes?,diet_advice
I want to meet a cardiologist this week,appointment_booking
Is it safe to use aspirin every day?,medication_info
My child has a sore throat,symptom_check
What's the dose for amoxicillin?,medication_info
Suffering from sore throat lately,symptom_check
Give me a healthy diet for hypertension,diet_advice
Suffering from nausea lately,symptom_check
Can I take aspirin with amoxicillin?,medication_info
Is it safe to use aspirin every day?,medication_info
Can I take amoxicillin with amoxicillin?,medication_info
What's the dose for cetirizine?,medication_info
Is spinach good for hypertension?,diet_advice
Give me a healthy diet for pregnancy,diet_advice
Emergency! My friend is fainting,emergency_help
Suggest foods for hypertension,diet_advice
I'm having a chest pain,emergency_help
Can I take paracetamol with amoxicillin?,medication_info
Give me a healthy diet for anemia,diet_advice
Give me a healthy diet for obesity,diet_advice
"Experiencing fever, cough, and nausea",symptom_check
Is sugar good for pregnancy?,diet_advice
Suggest foods for hypertension,diet_advice
Can I take paracetamol with ibuprofen?,medication_info
Is it safe to use paracetamol every day?,medication_info
What should a pregnancy patient eat?,diet_advice
Suffering from chills lately,symptom_check
"Experiencing nausea, headache, and cough",symptom_check
What should I take for chills?,medication_info
Give me a healthy diet for pregnancy,diet_advice
"Severe chills, what to do?",emergency_help
Can paracetamol be taken on an empty stomach?,medication_info
Need to see a cardiologist soon,appointment_booking
My mother has a cough,symptom_check
Can you book me a dentist appointment?,appointment_booking
Can amoxicillin be taken on an empty stomach?,medication_info
Feeling headache and dizziness,symptom_check
"Severe headache, what to do?",emergency_help
"Need immediate help, I'm chest pain",emergency_help
Give me a healthy diet for diabetes,diet_advice
Schedule a visit to the dentist,appointment_booking
My sibling has a cough,symptom_check
"Severe nausea, what to do?",emergency_help
Is it safe to use paracetamol every day?,medication_info
"Can't breathe properly, urgent help",emergency_help
I'm having a chest pain,emergency_help
Suffering from chills lately,symptom_check
Can paracetamol be taken on an empty stomach?,medication_info
"Experiencing fever, chills, and chills",symptom_check
Is it safe to use aspirin every day?,medication_info
What should I take for dizziness?,medication_info
Can I take ibuprofen with amoxicillin?,medication_info
My friend has a sore throat,symptom_check
I'm having a unconscious,emergency_help
Need to see a general physician soon,appointment_booking
Can paracetamol be taken on an empty stomach?,medication_info
My mother has a sore throat,symptom_check
My friend has a fever,symptom_check
I have a cough and nausea,symptom_check
"Experiencing fever, dizziness, and fever",symptom_check
Need to see a general physician soon,appointment_booking
Feeling cough and fever,symptom_check
Is it safe to use ibuprofen every day?,medication_info
Can paracetamol be taken on an empty stomach?,medication_info
"Need immediate help, I'm fainting",emergency_help
I have a sore throat and sore throat,symptom_check
Can you book me a neurologist appointment?,appointment_booking
Schedule a visit to the dentist,appointment_booking
Suffering from fever lately,symptom_check
Can I take paracetamol with aspirin?,medication_info
Can you book me a dermatologist appointment?,appointment_booking
What should I take for nausea?,medication_info
Can I take paracetamol with paracetamol?,medication_info
I want to meet a dentist this week,appointment_booking
Is milk good for obesity?,diet_advice
Can amoxicillin be taken on an empty stomach?,medication_info
Emergency! My child is seizure,emergency_help
What should I take for dizziness?,medication_info
"Need immediate help, I'm chest pain",emergency_help
Schedule a visit to the dermatologist,appointment_booking
"Severe fever, what to do?",emergency_help
Is it safe to use ibuprofen every day?,medication_info
What should a diabetes patient eat?,diet_advice
Emergency! My mother is unconscious,emergency_help
Suffering from sore throat lately,symptom_check
Give me a healthy diet for diabetes,diet_advice
Need to see a dermatologist soon,appointment_booking
My child has a fever,symptom_check
Give me a healthy diet for obesity,diet_advice
What's the dose for ibuprofen?,medication_info
What should a anemia patient eat?,diet_advice
Is it safe to use ibuprofen every day?,medication_info
I have a dizziness and sore throat,symptom_check
Book an appointment with a neurologist,appointment_booking
What foods to avoid if I have anemia?,diet_advice
Emergency! My friend is seizure,emergency_help
I'm having a seizure,emergency_help
My sibling has a chills,symptom_check
I want to meet a cardiologist this week,appointment_booking
"Severe fever, what to do?",emergency_help
Can I take amoxicillin with amoxicillin?,medication_info
My mother has a cough,symptom_check
Need to see a neurologist soon,appointment_booking
Book an appointment with a dermatologist,appointment_booking
Suffering from sore throat lately,symptom_check
Schedule a visit to the neurologist,appointment_booking
Can I take amoxicillin with paracetamol?,medication_info
Feeling sore throat and fever,symptom_check
Feeling dizziness and nausea,symptom_check
Is rice good for hypertension?,diet_advice
Can I take aspirin with aspirin?,medication_info
Can you book me a dermatologist appointment?,appointment_booking
Feeling sore throat and chills,symptom_check
Can you book me a dentist appointment?,appointment_booking
What's the dose for amoxicillin?,medication_info
Feeling fever and dizziness,symptom_check
"Need immediate help, I'm chest pain",emergency_help
"Severe cough, what to do?",emergency_help
Can you book me a dermatologist appointment?,appointment_booking
Schedule a visit to the general physician,appointment_booking
Suggest foods for diabetes,diet_advice
"Experiencing fever, dizziness, and sore throat",symptom_check
What foods to avoid if I have pregnancy?,diet_advice
What should a anemia patient eat?,diet_advice
"Can't breathe properly, urgent help",emergency_help
Schedule a visit to the general physician,appointment_booking
Can I take paracetamol with aspirin?,medication_info
Is sugar good for pregnancy?,diet_advice
Emergency! My mother is unconscious,emergency_help
Can I take amoxicillin with cetirizine?,medication_info
"Need immediate help, I'm difficulty breathing",emergency_help
I have a fever and headache,symptom_check
Feeling fever and headache,symptom_check
Book an appointment with a cardiologist,appointment_booking
"Severe headache, what to do?",emergency_help
"Experiencing fever, chills, and nausea",symptom_check
Is rice good for diabetes?,diet_advice
Book an appointment with a dermatologist,appointment_booking
Suffering from dizziness lately,symptom_check
Is sugar good for anemia?,diet_advice
Is bread good for diabetes?,diet_advice
Emergency! My child is seizure,emergency_help
Can you book me a cardiologist appointment?,appointment_booking
Book an appointment with a cardiologist,appointment_booking
Is it safe to use cetirizine every day?,medication_info
Suffering from dizziness lately,symptom_check
My mother has a fever,symptom_check
Need to see a neurologist soon,appointment_booking
What should I take for sore throat?,medication_info
Is it safe to use cetirizine every day?,medication_info
Feeling nausea and nausea,symptom_check
What should I take for chills?,medication_info
Emergency! My sibling is fainting,emergency_help
Is it safe to use amoxicillin every day?,medication_info
Can cetirizine be taken on an empty stomach?,medication_info
Feeling headache and nausea,symptom_check
Book an appointment with a cardiologist,appointment_booking
Give me a healthy diet for pregnancy,diet_advice
What should a obesity patient eat?,diet_advice
Book an appointment with a dentist,appointment_booking
What should I take for fever?,medication_info
Feeling sore throat and headache,symptom_check
Feeling sore throat and fever,symptom_check
Suggest foods for hypertension,diet_advice
"Need immediate help, I'm unconscious",emergency_help
What foods to avoid if I have anemia?,diet_advice
What should a hypertension patient eat?,diet_advice
I want to meet a neurologist this week,appointment_booking
I want to meet a dermatologist this week,appointment_booking
My child has a chills,symptom_check
Can you book me a cardiologist appointment?,appointment_booking
I want to meet a dentist this week,appointment_booking
Book an appointment with a neurologist,appointment_booking
Can paracetamol be taken on an empty stomach?,medication_info
Is it safe to use aspirin every day?,medication_info
Book an appointment with a general physician,appointment_booking
"Need immediate help, I'm seizure",emergency_help
Suffering from sore throat lately,symptom_check
My sibling has a sore throat,symptom_check
"Experiencing nausea, cough, and fever",symptom_check
"Severe dizziness, what to do?",emergency_help
Schedule a visit to the dermatologist,appointment_booking
"Severe dizziness, what to do?",emergency_help
"Need immediate help, I'm seizure",emergency_help
Need to see a neurologist soon,appointment_booking
Need to see a cardiologist soon,appointment_booking
Suggest foods for diabetes,diet_advice
Schedule a visit to the dentist,appointment_booking
Book an appointment with a neurologist,appointment_booking
Can I take ibuprofen with paracetamol?,medication_info
What's the dose for cetirizine?,medication_info
Can I take cetirizine with cetirizine?,medication_info
I'm having a chest pain,emergency_help
I have a sore throat and sore throat,symptom_check
What should I take for headache?,medication_info
Can amoxicillin be taken on an empty stomach?,medication_info
My father has a cough,symptom_check
"Experiencing cough, cough, and dizziness",symptom_check
Need to see a cardiologist soon,appointment_booking
Is it safe to use cetirizine every day?,medication_info
I have a chills and nausea,symptom_check
Book an appointment with a cardiologist,appointment_booking
My child has a sore throat,symptom_check
My friend has a chills,symptom_check
Feeling sore throat and cough,symptom_check
What's the dose for paracetamol?,medication_info
I want to meet a cardiologist this week,appointment_booking
"Can't breathe properly, urgent help",emergency_help
"Need immediate help, I'm seizure",emergency_help
Can ibuprofen be taken on an empty stomach?,medication_info
Feeling dizziness and fever,symptom_check
What's the dose for aspirin?,medication_info
"Severe cough, what to do?",emergency_help
Schedule a visit to the neurologist,appointment_booking
"Can't breathe properly, urgent help",emergency_help
Need to see a dentist soon,appointment_booking
Need to see a cardiologist soon,appointment_booking
Suffering from headache lately,symptom_check
Can I take paracetamol with amoxicillin?,medication_info
Suggest foods for obesity,diet_advice
What should a anemia patient eat?,diet_advice
"Experiencing nausea, headache, and chills",symptom_check
Feeling dizziness and fever,symptom_check
"Can't breathe properly, urgent help",emergency_help
Suggest foods for hypertension,diet_advice
"Severe nausea, what to do?",emergency_help
"Can't breathe properly, urgent help",emergency_help
Give me a healthy diet for hypertension,diet_advice
Can ibuprofen be taken on an empty stomach?,medication_info
Give me a healthy diet for anemia,diet_advice
Can amoxicillin be taken on an empty stomach?,medication_info
I have a chills and cough,symptom_check
Can amoxicillin be taken on an empty stomach?,medication_info
"Experiencing headache, cough, and headache",symptom_check
Can cetirizine be taken on an empty stomach?,medication_info
Is it safe to use paracetamol every day?,medication_info
What foods to avoid if I have obesity?,diet_advice
Schedule a visit to the dentist,appointment_booking
Suggest foods for anemia,diet_advice
"Can't breathe properly, urgent help",emergency_help
Is it safe to use aspirin every day?,medication_info
My father has a fever,symptom_check
Need to see a dermatologist soon,appointment_booking
Is rice good for obesity?,diet_advice
Suggest foods for diabetes,diet_advice
Can you book me a dentist appointment?,appointment_booking
Emergency! My friend is chest pain,emergency_help
I have a nausea and chills,symptom_check
What's the dose for cetirizine?,medication_info
Is milk good for anemia?,diet_advice
What should a pregnancy patient eat?,diet_advice
Give me a healthy diet for anemia,diet_advice
Emergency! My mother is difficulty breathing,emergency_help
Is it safe to use amoxicillin every day?,medication_info
Feeling fever and chills,symptom_check
Is sugar good for hypertension?,diet_advice
"Need immediate help, I'm unconscious",emergency_help
Suggest foods for obesity,diet_advice
"Experiencing nausea, fever, and cough",symptom_check
"Severe fever, what to do?",emergency_help
"Severe chills, what to do?",emergency_help
Book an appointment with a neurologist,appointment_booking
Suffering from sore throat lately,symptom_check
Give me a healthy diet for hypertension,diet_advice
Can cetirizine be taken on an empty stomach?,medication_info
I want to meet a dermatologist this week,appointment_booking
What's the dose for amoxicillin?,medication_info
What foods to avoid if I have obesity?,diet_advice
What should I take for nausea?,medication_info
"Experiencing headache, sore throat, and fever",symptom_check
Is it safe to use cetirizine every day?,medication_info
Feeling sore throat and fever,symptom_check
Suffering from sore throat lately,symptom_check
"Experiencing headache, headache, and headache",symptom_check
"Experiencing dizziness, dizziness, and sore throat",symptom_check
Can cetirizine be taken on an empty stomach?,medication_info
"Experiencing cough, nausea, and sore throat",symptom_check
I want to meet a cardiologist this week,appointment_booking
"Experiencing nausea, sore throat, and chills",symptom_check
Is it safe to use amoxicillin every day?,medication_info
Give me a healthy diet for obesity,diet_advice
Feeling dizziness and nausea,symptom_check
My mother has a dizziness,symptom_check
What foods to avoid if I have anemia?,diet_advice
Can you book me a cardiologist appointment?,appointment_booking
Suffering from chills lately,symptom_check
What should a obesity patient eat?,diet_advice
What's the dose for cetirizine?,medication_info
Book an appointment with a general physician,appointment_booking
"Severe fever, what to do?",emergency_help
"Experiencing dizziness, cough, and dizziness",symptom_check
I want to meet a cardiologist this week,appointment_booking
Give me a healthy diet for hypertension,diet_advice
Feeling headache and fever,symptom_check
Need to see a dermatologist soon,appointment_booking
What's the dose for aspirin?,medication_info
Feeling sore throat and sore throat,symptom_check
Book an appointment with a general physician,appointment_booking
"Experiencing sore throat, nausea, and sore throat",symptom_check
Feeling sore throat and sore throat,symptom_check
"Severe headache, what to do?",emergency_help
"Severe cough, what to do?",emergency_help
Can you book me a neurologist appointment?,appointment_booking
Suggest foods for anemia,diet_advice
What should I take for headache?,medication_info
"Severe nausea, what to do?",emergency_help
I want to meet a general physician this week,appointment_booking
Schedule a visit to the general physician,appointment_booking
"Need immediate help, I'm unconscious",emergency_help
Is milk good for pregnancy?,diet_advice
Need to see a neurologist soon,appointment_booking
Can you book me a neurologist appointment?,appointment_booking
Give me a healthy diet for obesity,diet_advice
Give me a healthy diet for pregnancy,diet_advice
Can I take aspirin with aspirin?,medication_info
I'm having a seizure,emergency_help
"Severe chills, what to do?",emergency_help
I have a fever and cough,symptom_check
"Need immediate help, I'm unconscious",emergency_help
Schedule a visit to the cardiologist,appointment_booking
Give me a healthy diet for diabetes,diet_advice
Can ibuprofen be taken on an empty stomach?,medication_info
I want to meet a dermatologist this week,appointment_booking
Need to see a dentist soon,appointment_booking
Suffering from fever lately,symptom_check
Can you book me a general physician appointment?,appointment_booking
Schedule a visit to the dentist,appointment_booking
Schedule a visit to the dermatologist,appointment_booking
Suggest foods for diabetes,diet_advice
My friend has a dizziness,symptom_check
"Can't breathe properly, urgent help",emergency_help
Need to see a general physician soon,appointment_booking
What should I take for sore throat?,medication_info
Give me a healthy diet for hypertension,diet_advice
Can I take amoxicillin with paracetamol?,medication_info
Schedule a visit to the dentist,appointment_booking
What should a pregnancy patient eat?,diet_advice
Can I take amoxicillin with amoxicillin?,medication_info
Suggest foods for diabetes,diet_advice
"Can't breathe properly, urgent help",emergency_help
Emergency! My father is chest pain,emergency_help
Suggest foods for anemia,diet_advice
Is bread good for hypertension?,diet_advice
Give me a healthy diet for obesity,diet_advice
Suggest foods for anemia,diet_advice
I want to meet a general physician this week,appointment_booking
"Can't breathe properly, urgent help",emergency_help
Can cetirizine be taken on an empty stomach?,medication_info
"Experiencing chills, dizziness, and sore throat",symptom_check
What should I take for nausea?,medication_info
Is sugar good for pregnancy?,diet_advice
"Severe fever, what to do?",emergency_help
What should a pregnancy patient eat?,diet_advice
What's the dose for paracetamol?,medication_info
Is milk good for hypertension?,diet_advice
Need to see a dentist soon,appointment_booking
What's the dose for amoxicillin?,medication_info
"Can't breathe properly, urgent help",emergency_help
I have a fever and cough,symptom_check
Feeling dizziness and headache,symptom_check
Feeling sore throat and sore throat,symptom_check
Is sugar good for diabetes?,diet_advice
I have a nausea and sore throat,symptom_check
Feeling sore throat and dizziness,symptom_check
Suggest foods for hypertension,diet_advice
I have a sore throat and chills,symptom_check
Emergency! My father is chest pain,emergency_help
My child has a headache,symptom_check
Suffering from headache lately,symptom_check
I'm having a difficulty breathing,emergency_help
I have a fever and sore throat,symptom_check
Can I take cetirizine with ibuprofen?,medication_info
Need to see a neurologist soon,appointment_booking
"Severe headache, what to do?",emergency_help
What should a hypertension patient eat?,diet_advice
What should a diabetes patient eat?,diet_advice
Emergency! My child is fainting,emergency_help
My father has a headache,symptom_check
What's the dose for paracetamol?,medication_info
"Can't breathe properly, urgent help",emergency_help
Give me a healthy diet for hypertension,diet_advice
Emergency! My child is difficulty breathing,emergency_help
Can you book me a general physician appointment?,appointment_booking
What's the dose for amoxicillin?,medication_info
Can ibuprofen be taken on an empty stomach?,medication_info
Is spinach good for diabetes?,diet_advice
What foods to avoid if I have anemia?,diet_advice
Feeling sore throat and fever,symptom_check
Is it safe to use ibuprofen every day?,medication_info
Can amoxicillin be taken on an empty stomach?,medication_info
What should I take for sore throat?,medication_info
Is it safe to use cetirizine every day?,medication_info
"Experiencing chills, fever, and dizziness",symptom_check
"Can't breathe properly, urgent help",emergency_help
"Can't breathe properly, urgent help",emergency_help
What's the dose for ibuprofen?,medication_info
What should a pregnancy patient eat?,diet_advice
"Need immediate help, I'm seizure",emergency_help
"Experiencing dizziness, chills, and cough",symptom_check
What's the dose for paracetamol?,medication_info
Can amoxicillin be taken on an empty stomach?,medication_info
Is it safe to use ibuprofen every day?,medication_info
I'm having a unconscious,emergency_help
"Severe sore throat, what to do?",emergency_help
Is spinach good for pregnancy?,diet_advice
I'm having a unconscious,emergency_help
Can you book me a general physician appointment?,appointment_booking
Need to see a general physician soon,appointment_booking
Is it safe to use cetirizine every day?,medication_info
Can paracetamol be taken on an empty stomach?,medication_info
"Need immediate help, I'm unconscious",emergency_help
Schedule a visit to the dermatologist,appointment_booking
Schedule a visit to the general physician,appointment_booking
Can I take cetirizine with paracetamol?,medication_info
What foods to avoid if I have anemia?,diet_advice
My friend has a cough,symptom_check
"Severe nausea, what to do?",emergency_help
Need to see a dermatologist soon,appointment_booking
Book an appointment with a general physician,appointment_booking
Is it safe to use paracetamol every day?,medication_info
Suggest foods for hypertension,diet_advice
"Can't breathe properly, urgent help",emergency_help
Book an appointment with a cardiologist,appointment_booking
Can I take cetirizine with cetirizine?,medication_info
What foods to avoid if I have pregnancy?,diet_advice
I want to meet a dentist this week,appointment_booking
Can cetirizine be taken on an empty stomach?,medication_info
Emergency! My child is difficulty breathing,emergency_help
I have a chills and chills,symptom_check
Give me a healthy diet for diabetes,diet_advice
What's the dose for paracetamol?,medication_info
Is it safe to use paracetamol every day?,medication_info
Is spinach good for pregnancy?,diet_advice
I have a nausea and dizziness,symptom_check
What's the dose for paracetamol?,medication_info
I'm having a unconscious,emergency_help
Schedule a visit to the cardiologist,appointment_booking
Give me a healthy diet for pregnancy,diet_advice
What should a obesity patient eat?,diet_advice
Emergency! My child is fainting,emergency_help
What should a obesity patient eat?,diet_advice
I want to meet a neurologist this week,appointment_booking
"Experiencing nausea, headache, and nausea",symptom_check
Need to see a dentist soon,appointment_booking
"Experiencing chills, dizziness, and headache",symptom_check
"Can't breathe properly, urgent help",emergency_help
Feeling headache and cough,symptom_check
"Need immediate help, I'm fainting",emergency_help
"Experiencing dizziness, dizziness, and chills",symptom_check
What should I take for cough?,medication_info
Give me a healthy diet for diabetes,diet_advice
Feeling chills and cough,symptom_check
My mother has a dizziness,symptom_check
Can you book me a cardiologist appointment?,appointment_booking
"Can't breathe properly, urgent help",emergency_help
Suggest foods for obesity,diet_advice
Can aspirin be taken on an empty stomach?,medication_info
What should a obesity patient eat?,diet_advice
Is it safe to use aspirin every day?,medication_info
"Need immediate help, I'm fainting",emergency_help
Feeling cough and sore throat,symptom_check
Can I take ibuprofen with ibuprofen?,medication_info
Is sugar good for obesity?,diet_advice
What should a hypertension patient eat?,diet_advice
What's the dose for amoxicillin?,medication_info
Feeling dizziness and dizziness,symptom_check
I'm having a seizure,emergency_help
I have a headache and fever,symptom_check
Can you book me a cardiologist appointment?,appointment_booking
Feeling cough and fever,symptom_check
"Severe dizziness, what to do?",emergency_help
Is rice good for obesity?,diet_advice
"Severe fever, what to do?",emergency_help
"Experiencing sore throat, headache, and fever",symptom_check
What should I take for cough?,medication_info
Emergency! My mother is difficulty breathing,emergency_help
Is spinach good for diabetes?,diet_advice
"Need immediate help, I'm unconscious",emergency_help
Can aspirin be taken on an empty stomach?,medication_info
What foods to avoid if I have obesity?,diet_advice
"Need immediate help, I'm fainting",emergency_help
What's the dose for paracetamol?,medication_info
Can you book me a neurologist appointment?,appointment_booking
Is rice good for hypertension?,diet_advice
Schedule a visit to the dentist,appointment_booking
What should a diabetes patient eat?,diet_advice
Feeling cough and fever,symptom_check
Feeling sore throat and headache,symptom_check
Can you book me a cardiologist appointment?,appointment_booking
Can I take cetirizine with amoxicillin?,medication_info
Need to see a general physician soon,appointment_booking
What should I take for dizziness?,medication_info
I'm having a chest pain,emergency_help
I have a dizziness and cough,symptom_check
Schedule a visit to the dentist,appointment_booking
I have a fever and cough,symptom_check
Is bread good for anemia?,diet_advice
Give me a healthy diet for anemia,diet_advice
"Experiencing sore throat, dizziness, and dizziness",symptom_check
I have a cough and cough,symptom_check
Book an appointment with a neurologist,appointment_booking
What should I take for fever?,medication_info
What should a hypertension patient eat?,diet_advice
What foods to avoid if I have hypertension?,diet_advice
I have a dizziness and sore throat,symptom_check
"Need immediate help, I'm unconscious",emergency_help
What should I take for headache?,medication_info
Suggest foods for diabetes,diet_advice
Emergency! My sibling is difficulty breathing,emergency_help
"Can't breathe properly, urgent help",emergency_help
My child has a fever,symptom_check
Is bread good for anemia?,diet_advice
I'm having a unconscious,emergency_help
Can I take aspirin with aspirin?,medication_info
Book an appointment with a neurologist,appointment_booking
Can I take paracetamol with ibuprofen?,medication_info
Can I take cetirizine with paracetamol?,medication_info
Feeling dizziness and nausea,symptom_check
I'm having a unconscious,emergency_help
Need to see a neurologist soon,appointment_booking
"Severe fever, what to do?",emergency_help
"Severe headache, what to do?",emergency_help
Give me a healthy diet for diabetes,diet_advice
Schedule a visit to the dentist,appointment_booking
Emergency! My mother is chest pain,emergency_help
Schedule a visit to the neurologist,appointment_booking
"Severe chills, what to do?",emergency_help
Give me a healthy diet for diabetes,diet_advice
Book an appointment with a general physician,appointment_booking
What's the dose for ibuprofen?,medication_info
What's the dose for cetirizine?,medication_info
Emergency! My sibling is difficulty breathing,emergency_help
Emergency! My friend is chest pain,emergency_help
Schedule a visit to the neurologist,appointment_booking
Can I take aspirin with cetirizine?,medication_info
"Severe sore throat, what to do?",emergency_help
Is it safe to use aspirin every day?,medication_info
"Need immediate help, I'm seizure",emergency_help
"Experiencing headache, chills, and sore throat",symptom_check
What foods to avoid if I have pregnancy?,diet_advice
What's the dose for paracetamol?,medication_info
My child has a fever,symptom_check
My sibling has a fever,symptom_check
I want to meet a dermatologist this week,appointment_booking
Is it safe to use ibuprofen every day?,medication_info
"Severe sore throat, what to do?",emergency_help
I have a dizziness and headache,symptom_check
What should a hypertension patient eat?,diet_advice
Give me a healthy diet for pregnancy,diet_advice
Feeling cough and nausea,symptom_check
Emergency! My father is unconscious,emergency_help
Book an appointment with a dermatologist,appointment_booking
Can I take aspirin with paracetamol?,medication_info
